编号,组织名称,中促会,民促会,联合国,成立时间,出海时间,领导人,重要员工,资本类型,注册地,注册形式,捐赠金额（出海前）标注年份,,捐赠金额（出海后）,,官网的组织理念,组织结构（参考年报）,是否有独立的海外办公室——组织结构,官网关于海外项目的组织理念——目标,海外项目的名称,海外涉及的地区,海外服务内容,服务形式,主要成员是否有官方背景,主要信息来源,是否有网上披露,是否持续性披露,走出去程度
124,成美慈善基金会 ,1,0,1,2010年,2013年,理事长：蒋会成，秘书长：刘英子,——,——,海南省海口市,公募基金会,——,——,——,——,成美慈善基金会秉承“人是我们的第一投资”的核心理念，致力于成人之美，大爱无疆。其关注教育、医疗、文化、环保等四大领域的社会发展工作，支持民间社会创新及可持续发展,下设理事会、秘书处、项目团队,否,通过国际慈善合作，推动全球公益事业发展,尼泊尔妇女儿童健康项目,尼泊尔,通过与当地慈善组织合作，开展医疗培训、健康教育和物资捐赠,直接服务,否,官网、中国发展简报、爱企查,是,是,海外项目
125,中国农业大学 ,1,0,1,1905年京师大学堂农科大学，1995年合并为中国农业大学,——,现任党委书记：钟登华，校长：孙其信,——,——,北京市,公立大学,——,——,——,——,中国农业大学以“解民生之多艰，育天下之英才”为己任，致力于培养高素质的农业人才，推动农业科技进步，服务国家现代化建设,学校设有多个学院和研究机构,否,培养国际化人才，推动全球农业发展，促进中外教育文化交流，服务“一带一路”倡议，创新人才培养模式，提升国际影响力,“中非农业合作项目”“中巴农业科技创新联合实验室”等,非洲、巴基斯坦等,农业技术培训、农业科研合作、农业人才培养等,直接服务,是,官网、中国教育在线、百度,是,是,海外交流访问
126,中国军控与裁军协会 ,1,0,1,2001年,2001年,会长：张炎，秘书长：戴怀成,中国国际问题研究所、中国现代国际关系研究院、北京理工大学等机构的专家学者,——,北京市,非营利性组织,——,——,——,——,协会的宗旨是组织协调全国民间军控、裁军与不扩散活动，推动该领域学术研究，开展国内外交流，以推动国际军控、裁军与不扩散进程，维护世界和平,协会设会长、常务副会长、副会长及高级顾问，秘书处为常设机构，由秘书长、副秘书长及若干工作人员组成,否,通过与国际组织和其他国家的非政府组织、研究机构开展交流与合作，推动国际军控、裁军与防扩散进程,中美一轨半军控对话、与联合国裁军事务办公室等联合举办的军控专题研讨会、“五核国青年专家与中国智库对话会”等,美国、俄罗斯、欧盟、日本、澳大利亚、印度、巴基斯坦、朝鲜,主要包括开展军控、裁军与防扩散领域的研究、交流、对话、培训等活动,间接服务,是,官网、爱企查、百度、人民网、中华人民共和国外交部,是,是,海外交流访问
127,中国国际科学技术合作协会,1,0,1,1992年,1992年,"会长：姚为克，副会长：冯瑄、王振宇、张永涛等，秘书长：孙丽杰



",科学技术部、中国科学院、中国工程院、中国科学技术协会、国家自然科学基金委员会等单位的专家学者和科技工作者,——,北京市,非营利性组织,——,——,——,——,协会的宗旨是应对经济全球化和国际科学技术创新日益活跃的环境，紧密围绕全面建设小康社会的奋斗目标，以提高国家科技自主创新能力和增强参与国际合作与竞争的能力为中心，贯彻实施“官民并举”和“引进来”与“走出去”相结合的方针，充分利用国际科技资源和开放的国际科技合作环境，开展全方位、宽领域、多层次的对外科技合作，为国家经济建设、社会发展和科技进步服务,协会由科学技术部、中国科学院、中国工程院、中国科学技术协会、国家自然科学基金委员会联合发起成立，具有法人地位。其组织架构包括会长、副会长、秘书长及理事会等，秘书处为常设机构,否,协会致力于促进中外科研人员和企业家的合作与交流，为国外伙伴寻找在中国的科技合作机会，搭建国际科技合作的民间平台,"国际科技合作项目咨询与服务、国际科技交流活动、国际科技合作研究

",涵盖全球多国家,国际科技合作项目的咨询、对接、交流活动组织、研究支持等,间接服务,是,官网、天眼查、 百度、中国科学院,是,是,海外交流访问
128,中国西藏文化保护与发展协会,1,0,1,2004年,——,首任会长：阿沛·阿旺晋美，现任会长：帕巴拉·格列朗杰,——,——,北京市,非营利性社会团体,——,——,——,——,遵守中华人民共和国宪法、法律、法规和国家政策，广泛联系国际国内有关组织和人士，致力于保护和发展西藏文化，维护人权，促进西藏各民族的团结和睦和共同繁荣进步。,——,否,通过文化交流、学术研究和国际合作，促进西藏文化的国际传播和保护,“西藏文化周”活动、国际学术研讨会、参加联合国人权会和联合国经济社会发展领域会议，以及联合国非政府组织会议、亚太区域会议等,美国、欧洲、亚洲等地区,文化展示、学术交流、艺术表演、文化交流活动等,直接和间接服务,是,百度、新闻,是,是,海外交流访问
129,中国科学技术协会 ,1,0,1,1958年,——,主席：万钢，党组书记：贺军科，党组副书记、专职副主席、书记处书记：束为,——,——,北京市,非营利性组织,——,——,——,——,宗旨是团结和动员科学技术工作者以经济建设为中心，坚持科学技术是第一生产力的思想，实施科教兴国战略和可持续发展战略，促进科学技术的繁荣和发展，促进科学技术的普及和推广，促进科学技术人才的成长和提高，反映科学技术工作者的意见，维护科学技术工作者的合法权益，为科学技术工作者服务,由全国学会、协会、研究会，地方科学技术协会及基层组织组成,否,致力于推动国际科技合作与交流，通过与国际科技组织和其他国家的科技团体开展合作，促进全球科技发展,国际科技合作项目、国际科技交流活动、国际科技人才交流等,覆盖全球多国,国际科技合作、学术交流、人才培养等,直接和间接服务,是,官网、百度、中国科学院、中国政府网,是,是,海外交流访问
130,中国女企业家协会,1,0,1,1985年,1995年,副会长：于静、马忠群等,协会成员主要由全国各地的女性企业家、女性高级管理人员以及女性创业者组成,——,北京市,非营利性组织,——,——,——,——,宗旨是坚持中国共产党的领导，坚持走中国特色社会主义道路，坚持改革发展；服务于国家经济社会改革发展大局，服务于女企业家及其企业；维护女企业家的合法权益，促进女企业家守法、自律，发挥女企业家与政府之间的桥梁纽带作用。协会致力于成为沟通政府与女企业家的桥梁，联系女企业家与各界妇女的纽带，培养和提高女企业家素质的平台,下设多个专业委员会，包括大健康专业委员会、时尚创意专业委员会、财税及法律咨询服务委员会等。其领导机构包括会长、副会长及常务理事会等。,否,致力于加强女企业家对外的经济交往和经济合作，通过与国际组织和其他国家的女企业家团体建立联系，推动国际交流与合作,"参与1995年第四次世界妇女大会、2001年亚太经合组织妇女领导人会议、2002年可持续发展世界首脑会议、2003年瑞士达沃斯“世界经济论坛”及亚太经合组织妇女领导人会议、2004年第四届世界社会论坛等

",美国、欧洲、亚太地区,国际会议参与、国际交流活动、经贸合作等,间接服务,是（部分有）,官网、爱企查、百度、新闻,是,是,海外交流访问
131,中国关爱协会,1,0,1,2001年,——,"法人代表
王渝生",——,——,北京市,社会团体,——,——,——,——,——,——,——,——,——,——,——,——,——,百度、顺企查,是,是,海外交流访问
132,中国国际商会,1,0,1,1988年,1988年,会长​：任鸿斌，副会长​：张少刚,秘书长​：孙晓,——,北京市,非营利性社会组织,——,——,——,——,中国国际商会的宗旨是根据中华人民共和国的法律、法规和政策，开展促进中国工商界同世界各国各地区经贸联系和经济技术合作活动，依法维护会员的合法权益,最高权力机构：会员代表大会。常设机构：理事会。办事机构：内设办公室、会员发展部、综合业务部、会展部、双边合作部、多边合作部、贸易促进中心、国际商会中国国家委员会秘书局、党建工作部等, 否,"通过多双边工商合作机制，组织中外企业间互访、研讨、信息交流、项目对接、培训等活动，促进中外经贸合作

",国际商会中国国家委员会（ICC China）​、国际商会世界大会​、国际商事仲裁​、国际经贸规则与惯例研究推广​、国际经贸合作​,美国、加拿大、墨西哥、巴西、澳大利亚、新西兰、日本、韩国、印度、新加坡、马来西亚、泰国、越南、菲律宾、印度尼西亚、柬埔寨、缅甸、老挝、文莱、阿联酋、沙特阿拉伯、以色列、伊朗等,"举办研讨会、论坛、商务对接活动等，组织企业对接、项目洽谈、合作签约等

",间接服务,是,官网、爱企查、新闻、百度,是,是,海外交流访问
133,中华少年儿童慈善救助基金会,1,0,1,2010年,2010年,"理事长：陈埙吹，秘书长：薛秋霁

","理事：李城外、刘伟光、万国威、夏传玲、姚岚、易定宏，监事长：谷新房

",——,北京市,公募基金会,——,——,——,——,募集社会资金，开辟民间救助渠道， 对社会上无人监管、抚养的孤儿、流浪儿童、辍学儿童、问题少年和其他有特殊困难的少年儿童进行救助。 并通过救助活动，传播慈善理念，弘扬慈善文化,最高权利机构：理事会,否,开展海内外少年儿童慈善救助交流活动,"国际儿童慈善交流项目、开展“圆愿”贫困儿童援助计划

","澳大利亚、美国、蒙古国、泰国、尼泊尔、乌克兰

",促进国际儿童慈善事业的交流与合作，分享救助经验和资源,直接和间接服务,是,官网、百度,是,是,海外交流访问
134,中国慈善联合会,1,0,1,2013年,2013年,会长：张春生。副会长：王黎红、孔东梅、丘仲辉、冯亚平、孙少华、李安平、李如成、李海峰、沈小平、张建斌、张晓敏、陈泽行、郑功成、赵国臣、姚瑶、益西达瓦、海霞、黄少媚、黄巍东、戴立忠,秘书长：冯亚平，监事长：雷永胜,——,北京市,非营利性社会团体,——,——,——,——,围绕“联合慈善力量、沟通社会各方、促进行业自律、推动行业发展”的宗旨，近年来下大气力投入脱贫攻坚、抗击新冠疫情、助力乡村振兴、为慈善法（修）订建言献策、加强标准化建设与行业自律、维护行业权益、弘扬慈善文化、推动跨界交流、培养慈善人才，取得丰硕成果。,最高权力机构：会员大会。理事会，下设常务理事会、秘书处、专业委员会,否,通过国际交流与合作，推动中国慈善事业的国际化发展,"海峡两岸暨港澳地区慈善论坛、中意慈善论坛、世界公益慈善论坛、东西方慈善论坛、丝路一家亲行动、中非民间友好伙伴计划（2018-2020）、国际灾害治理参与
，戛纳电影节Horyou村系列公益活动​、湄公河五国光明行​、美驻华使馆慈善法茶话会​、与亚非拉12国官员分享扶贫经验​
",意大利、美国、澳大利亚、巴基斯坦、尼泊尔、埃塞俄比亚、乌干达、苏丹、肯尼亚、坦桑尼亚,推动与多国的交流与合作，推动民间组织建立合作伙伴关系，开展民生项目，公益活动合作、扶贫经验分享、慈善法交流等,直接和间接服务,是,中国一带一路网、百度、官网、新闻,是,是,海外项目
135,中国残疾人联合会,1,0,1,1988年,1988年,名誉主席：杨晓渡，主席：程凯，执行理事会理事长：周长奎,副理事长：李东梅、钟秀明、胡向阳、尤亮，理事：李庆忠、杨洋、吴世彩、李冬生,——,北京市,非营利性社会组织,——,——,——,——,宗旨是“弘扬人道主义思想，发展残疾人事业，促进残疾人平等、充分参与社会生活，共享社会物质文化成果”。其主要职能包括代表残疾人共同利益，维护残疾人合法权益；团结帮助残疾人，为残疾人服务；履行法律赋予的职责，承担政府委托的任务，管理和发展残疾人事业,最高权力机构：全国代表大会,否,"通过国际交流与合作，推动中国残疾人事业的国际化发展，提升中国在国际残疾人事务中的影响力

","国际残疾人体育交流、国际残疾人康复技术交流

",德国、土库曼斯坦、乌兹别克斯坦、丹麦、比利时, 进行技术培训、设备捐赠，同时开展经验分享、政策建议,直接和间接服务,是,知乎、官网、百度、新闻,是,否,海外交流访问
136,中国生态文明研究与促进会,1,0,1,2011年,2011年,法定代表人：刘青松，总顾问：姜春云，会长：张波,祝光耀,——,北京市,非营利性社会组织,——,——,——,——,以邓小平理论和“三个代表”重要思想为指导，贯彻落实科学发展观，遵照党和国家生态文明建设的方针政策和战略部署，聚集全国有志于生态文明建设的力量，深入研究生态文明建设的重大问题，积极推进生态文明建设，坚持为生态文明建设服务。,实行“一会”（理事会）、“三委”（专家咨询、研究指导和创建促进专门委员会）、“总顾问和顾问”的领导体制,否,组织参加国际民间生态文明交流与合作，展示我国生态文明建设成就，借鉴国际研究成果和成功经验，为推动人类生态文明建设事业做出努力,共建绿色“一带一路”国际论坛​、“绿色丝绸之路”项目​、生态文明国际论坛​,参与会议的相关国家,展示我国生态文明建设成就，借鉴国际研究成果和成功经验，推动绿色低碳发展，促进生态环保能力提升,直接和间接服务,是,微信公众号、官网、中华人民共和国生态坏境部、ihr360,是,是,海外交流访问
137,中华环境保护基金会,1,0,1,1993年,1992年,法定代表人：徐光，理事长：徐光,名誉理事长：万里、黄华、成思危、蒋正华。前理事长：曲格平、傅雯娟,—— ,北京市,公募基金会,——,——,——,——,中华环境保护基金会的宗旨是“取之于民、用之于民、保护环境、造福人类”，致力于推动生态文明建设，助力美丽中国建设,最高权力机构：会员代表大会，理事会，办事机构：秘书处,否,"通过国际交流与合作，推广中国环境保护经验，参与全球环境治理

","联合国环境与发展大会相关活动、与联合国环境规划署（UNEP）合作项目、世界自然保护联盟（IUCN）合作项目

",巴西、全球多个地区,参与全球生态保护行动，推动生物多样性保护，支持全球环境保护项目，推动可持续发展目标,间接服务,是,爱企查、百度官网、中国发展简报,是,是,海外交流访问
138,中国教育国际交流协会,1,0,1,1981年,1981年,会长：刘利民，副会长：林建华、袁驷、郭东明等,秘书长：杨军，名誉会长：路甬祥、林文漪等,——,北京市,非营利性社会组织,——,——,——,——,宗旨是积极推动中国教育界同世界各国、各地区的交流与合作，促进教育、科技和文化事业的发展，增进各国和各地区人民之间的了解和友谊,最高权力机构：会员代表大会。下设理事会和分支机构,否,通过国际交流与合作，推动中国教育国际化，提升中国教育在国际上的影响力,"AFS国际文化交流项目、高校艺术学科师生海外学习计划、中美高等教育合作对话会

",美国、意大利、澳大利亚、德国、法国、日本等,举办研讨会、对话会等进行交流沟通,直接服务,是,官网、百度、新闻,是,否,海外交流访问
139,中国少数民族对外交流协会,1,0,1,1992年,——,会长兼法定代表人：丹珠昂奔 ，副会长兼秘书长：王泉利,吴金光、巴莫阿依、李耿年、刘庆余、赵静、兰海滨、陈峣、李焕才、李春光 、邱鹏、金锦子,——,北京市,非营利性社会团体,——,——,——,——,积极贯彻国家外事方针政策，始终把出发点和着力点放在配合国家外交大局上，发挥民间对外交往的作用，为少数民族地区服务，为民族工作服务。,——,——,——,——,——,——,——,——,百度、新闻,是,否（2023）,海外交流访问
140,中国计划生育协会,1,0,1,1980年,1983年,会长：王刚，党组书记、常务副会长：于学军，党组成员、专职副会长：姚瑛,党组成员、秘书长、机关党委书记：范晓敏，党组成员、副秘书长：何翔,——,北京市,非营利性群众团体,——,——,——,——,高举中国特色社会主义伟大旗帜，以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观为指导，深入贯彻习近平总书记系列重要讲话精神，坚持创新、协调、绿色、开放、共享的发展理念，按照中央关于加强和改进党的群团工作的战略部署，保持和增强政治性、先进性、群众性，发挥带头、宣传、服务、监督、交流的作用，团结动员广大会员和群众自觉践行社会主义核心价值观，宣传教育引导育龄群众负责任、有计划地生育，关心服务计划生育家庭，增强家庭发展能力和幸福感，促进人口与经济社会和资源环境协调可持续发展，为实现中华民族伟大复兴的中国梦而奋斗,最高权力机构：全国理事会,否,通过国际合作，提升中国在国际人口与发展领域的影响力，分享中国在生殖健康、优生优育、人口发展等方面的经验，同时学习国外先进经验，推动全球人口健康事业的发展,抗疫国际合作项目、青少年性与生殖健康项目、中蒙、中缅、中柬边境地区流动人口性病艾滋病预防项目、举办“一带一路”国家家庭计划组织合作论坛、中欧生殖健康创新服务论坛等,欧洲、一带一路沿线国家、蒙古、缅甸、柬埔寨、日本、泰国、埃及、摩洛哥、伊朗等,促进生殖健康、人口和计划生育方面开展国际交流与合作,直接和间接服务,是,官网、新闻、百度、政府网、一带一路网,是,否,海外项目
141,中国网络社会组织联合会,1,0,1,2018年,2019年,会长​：牛一兵,"副会长​：马化腾、王晓辉、毛伟、叶蓁蓁、过彤、许冉、李彦宏、杨谷、张鲁滨、陈英、邵晓锋、周鸿祎、洪亮、郭全啟、程维、程一笑、储学军，秘书长​：赵晖
",——,北京市,非营利性社会组织,——,——,——,——,宗旨是在党和政府的领导下，积极发挥桥梁纽带作用，统筹协调社会各方资源，促进网络社会组织发展，凝聚网络社会组织力量，强化网络社会组织的作用发挥，引导网络社会组织互相学习、共同提高，增强个体活力和整体工作水平,"最高权力机构：会员代表大会。执行机构：理事会。办事机构：秘书处

",否,"中网联积极参与国际交流与合作，推动网络空间治理的国际合作。

",联合国互联网治理论坛（IGF）、主办中肯数字经济合作发展研讨会、中坦网络文化交流会、中巴互联网治理研讨会，承办中古互联网圆桌论坛、主办联合国人权理事会第49届会议边会、主办联合国妇女地位委员会第六十七届会议“缩小数字时代的性别差距：利用技术和创新推动亚太和非洲地区妇女经济赋权”主题边会等,沙特利雅得、古巴、坦桑尼亚、肯尼亚等,"通过举办研讨会、论坛等形式与国际组织和各国代表交流，通过发布研究报告、政策建议等方式，为国际互联网治理提供参考



",直接和间接服务,是,微信公众号、bilibili、新闻、中国政府网、中国发展简报、官网,是,否,海外交流访问
142,中国人权发展基金会,1,0,1,1994年,2011年,领导人：谢伏瞻，常务副理事长：周树春，副理事长：左锋、黄进、李程·丹增尼玛,秘书长：左锋,——,北京市,公募基金会,——,——,——,——,坚持以习近平新时代中国特色社会主义思想为指导，遵守宪法“国家尊重和保障人权”的原则，促进中国人权事业的发展和进步；加强在国际人权领域的交流与合作，推动世界人权进步事业,下设理事会和秘书处,否,加强在国际人权领域的交流与合作，增进世界对中国发展和进步的了解和支持，推动世界人权进步事业,"北京人权论坛、“关爱她”乡村女教师关爱项目、文化传播公益基金、文明交流互鉴与促进人权保障主题边会、中德人权发展论坛、中美司法与人权研讨会、人权文博国际研讨等

",瑞士日内瓦、哈萨克斯坦、吉尔吉斯斯坦、塔吉克斯坦、土库曼斯坦、乌兹别克斯坦,通过举办国际论坛、研讨会和访问等形式，与各国人权组织、基金会、智库等开展交流合作,直接和间接服务,是,官网、百度、中国政府网、新闻,是,否（2023）,海外交流访问
143,中国和平发展基金会,1,0,1,2005年,2005年,法定代表人​：邢凤亮,理事长​：孙家正。，名誉理事长​：王家瑞，秘书长​：徐建国,——,北京市,非公募基金会,——,——,——,——,传播和平发展理念，开展国际公益项目和人文交流活动，支持中国民间组织开展国际交流，增进中国与世界各国人民之间的相互了解和友好合作，促进世界和平发展与共同繁荣。,下设理事会、监事会、秘书处,否,致力于通过文化交流、公益合作、教育支持、扶贫减贫等项目，促进中国与世界各国之间的相互了解和友好关系，推动全球和平与发展。,“一带一路”文化交流项目、非洲教育支持计划、中非友好合作基金、亚洲青年交流项目、中拉文化交流活动、国际减贫合作项目、全球公共卫生合作项目等,缅甸、坦桑尼亚、老挝、柬埔寨、蒙古、菲律宾、塔吉克斯坦、巴基斯坦、尼泊尔、苏丹、赞比亚等,组织文化交流活动、艺术展览、师资培训，支持经济合作、文化交流、公益项目,直接和间接服务,是,官网、百度,是,是,海外项目
144,中国长城学会,1,0,1,1987年,——,名誉会长：习仲勋，会长：许嘉璐。副会长：王钦敏、柳斌杰、张黎等,副会长兼秘书长：袁安升，董耀会,——,北京市,非营利性社会组织,——,——,——,——,宗旨是努力弘扬民族文化，光大长城精神，大力研究、宣传长城，从而促进长城的保护和利用工作。,下设秘书处、文化旅游管理委员会、保护基金管理委员会、文化交流部、长城书画院、国际交流部，《万里长城》《中国长城博物馆》编辑部等,否,致力于通过国际交流与合作，弘扬长城文化，促进长城的国际影响力提升，推动国际间对长城文化遗产保护的关注与合作。,“20年20国−长城驿站”项目、“让世界为中国骄傲”项目等,亚洲、欧洲多国,传播长城文化，弘扬长城精神，向世界讲好长城故事，构建长城全球华人朋友圈，带动中国品牌出海，提升企业家全球视野和开拓精神，助力国家文化和旅游产业发展等,直接和间接服务,是,官网、百度、微信公众号、新闻,是,是,海外交流访问
145,中国绿化基金会,1,0,1,1985年,2016年,名誉主席：贾庆林、主席：陈述贤、副主席：陈蓬、张涌、彭菲莉、徐济德、叶智,副秘书长：缪光平,——,北京市,公募基金会,——,——,——,——,推进国土绿化，维护生态平衡，建设生态文明，促进人与自然和谐发展。,办公室是国家林业和草原局直属二级预算单位，正司局级事业单位，内设综合处、财务资产处、监督管理处、网络信息处、项目一处、项目二处、项目三处。另设理事会、监事会等决策和监督机构,否,致力于通过国际合作，推动全球生态治理，促进各国在绿化、生态保护等领域的交流与协作。,为生命呐喊——拯救濒危亚洲象行动、参加联合国森林论坛第19届会议、“绿带行动”—大众汽车集团（中国）公益林项目、中日合作宫胁造林项目,缅甸、泰国等,开展亚洲象生境恢复工作，包括生态廊道建设、食源地建设、野外受伤亚洲象救助、建立监测体系等，为其他国家亚洲象及野生动植物保护树立实践样本,直接和间接服务,是,官网、百度,是,是,海外项目
146,中国国际跨国公司促进会,1,0,1,1993年,2003年,名誉会长​：杜青林，特邀会长​：周铁农，会长​：郑万通，常务副会长​：张笑宇，驻会特邀副会长​：王文华，特邀副会长​：尚福林企业副会长​：于勇,执行秘书长​：刘平，轮值秘书长​：王毅涛，副秘书长​：张鹏,——,北京市,非营利性社会组织,——,——,——,——,以“平等、诚信、合作、共赢”为宗旨，秉承推动跨国公司成长和发展的使命，搭建跨国公司交流与合作的国际平台，促进跨国公司投资，倡导企业履行社会责任，积极服务中国经济发展建设，参与联合国可持续发展事业。,最高权力机构是会员代表大会，下设理事会、常务理事会、秘书处,否,推动中国跨国公司海外发展，促进中外跨国公司交流合作，为全球经济发展做贡献。,国际跨国公司领袖圆桌会议、中韩工商领袖合作论坛、中印工商领袖合作论坛、“一带一路”相关合作、中非经济合作相关项目等,韩国、印度、德国、瑞士、法国、荷兰、美国等,组织国际会议，促进中外跨国公司交流合作、推动企业履行社会责任、为跨国公司提供咨询服务、就跨国公司发展问题向政府建言献策等,直接和间接服务,是,官网、百度、新闻,是,否,海外项目
147,中国国际公共关系协会,1,0,1,1991年,1993年,名誉会长：蒋正华、李道豫等，代理会长：赵大力,常务副会长兼秘书长：王大平，副会长：郭惠民等,——,北京市,非营利性社会团体,——,——,——,——,“让世界了解中国，让中国走向世界”，致力于推动公共关系的专业化、规范化和国际化发展，为中国改革开放和经济社会发展服务。,最高权力机构是会员代表大会。协会下设传播战略等多个委员会，秘书处下设会员管理部等多个部门。,否,促进中外公共关系领域交流合作，提升中国国际形象和影响力，推动中国公共关系业国际化。,会长会见他国活动家、共同举办“德国防务政策及中德关系研讨会”、参加“’97澳、新公关国际研讨会”,欧洲、中东、非洲、东南亚、拉美等地区多国,开展国际交流活动、组织学术研讨、为企业海外公关提供咨询和指导、打造国际传播平台等，助力中国企业和组织提升国际影响力,直接和间接服务, 是,官网、百度、中华人民共和国外交部,是,是,海外交流访问
148,中国人权研究会,1,0,1,1993年,——,会长：白玛赤林，常务副会长：蒋建国，副会长：马怀德、付子堂、沈永祥、鲁广锦，,秘书长：唐献文,——,北京市,非营利性社会组织,——,——,——,——,深入研究阐释习近平总书记关于尊重和保障人权的重要论述，弘扬当代中国人权观，创新发展中国人权理论体系和话语体系，普及人权知识，坚定不移走中国人权发展道路，开展人权国际交流与合作，参与全球人权事务，推动全球人权治理向着更加公平公正合理包容的方向发展。,最高权力机构是全国理事会，理事会选举产生常务理事会，下设会长、副会长、秘书长等职务，还有办事机构作为行政和协调机构，由秘书长主持工作,否,通过国际交流与合作，推动全球人权治理，促进世界人权事业健康发展。,北京人权论坛、中欧人权研讨会、反恐、去极端化与人权保障、中国共产党与中国人权事业发展进步、等国际研讨会、中拉人权圆桌会等,美国、英国、法国、德国、埃及、摩洛哥、巴西、智利、秘鲁、塔吉克斯坦、乌兹别克斯坦等,开展人权理论研讨，促进不同国家和地区在人权领域的交流与理解，分享人权发展经验，推动全球人权治理理念和实践的发展等。,直接和间接服务,是,官网、西南政法大学、百度,是,否,海外交流访问
149,中国光彩事业促进会 ,1,0,1,10/1/1995,1998年,会长：沈莹,——,——,北京市,非营利性社会团体,——,——,——,——,践行“义利兼顾、以义为先”核心理念，坚持“产业+公益”双轮驱动，以促进共同富裕为宗旨,最高权力机构是会员代表大会，理事会是会员代表大会的执行机构,否,用世界眼光和全球视野参与国际减贫事业，打破地域限制，搭建国际国内两个平台，促进中国企业与世界各国的合作交流。,1998社会扶贫国际研讨会、光彩事业迈向新世纪国际研讨会、中国光彩事业国际扶贫研讨会、21世纪中国企业社会责任论坛、联合国——气候变化与企业契约圆桌会议、捐助光彩小学等,印度尼西亚、马来西亚、泰国、菲律宾、印度、乌干达、卢旺达、埃塞俄比亚、坦桑尼亚等,开展国际扶贫研讨、推动企业社会责任建设、促进环保与气候变化合作、捐助教育等公益事业等,直接和间接服务,是,官网、BOSS直聘、中国广播网、百度,是,是,海外项目
150,中国宋庆龄基金会,1,0,1,5/1/1982,1988年,主席：李斌，副主席：龙明彪、王宁、李惠东、谢锋、余艳红、沈蓓莉等,副秘书长：吴殿武、李安晋等,——,北京市,公募基金会,——,——,——,——,继承和发扬宋庆龄毕生致力的增进国际友好，维护世界和平；开展两岸交流，促进祖国统一；关注民族未来，发展少儿事业。,组织架构主要包括理事会、秘书处等，理事会是基金会的决策机构，秘书处负责日常工作,否,增进国际友好、维护世界和平，促进中外青少年交流，传播中华优秀文化,1988年签署“宋庆龄基金会与国际儿童义养会合作协议”、文化小大使活动、时代小先生项目、传承孙宋精神，讲述友好故事系列活动等,阿联酋、贝宁、马耳他、马来西亚、新加坡,组织青少年文化交流活动，开展与海外机构的合作，推动孙宋精神传播,直接和间接服务,是,官网、抖音、新闻、故宫博物馆,是,是,海外交流访问
151,中国妇女发展基金会 ,1,0,1,1988年,2010年,理事长：杜芮,李璋,——,北京市,公益基金会（由中国妇联主管）,——,——,——,——,维护妇女权益，提高妇女素质，促进妇女和妇女事业发展。,理事会是最高决策机构，下设办事机构，有办公室、基金部、联络部等,否,促进国际妇女交流合作、提升全球妇女发展水平、维护妇女权益,与国际“红羽毛”联合发起“红羽毛女性健康援助基金”项目、向斯里兰卡等国提供小额物资援助项目等,英国、美国、日本、斯里兰卡、柬埔寨、老挝、越南、俄罗斯、吉尔吉斯斯坦等,提高中国女性健康意识，缓解女性就诊压力，给经济困难女性提供经济援助，开展免费体检等活动。向斯里兰卡等发展中国家妇女儿童提供物资援助，助力当地妇女儿童事业发展,直接和间接服务,是,官网、中国妇女研究网、启信宝,是,否,海外项目
152,中国水利工程协会 ,1,0,1,2005年,——,——,秘书长：王新跃,——,北京市,非营利性社会组织,——,——,——,——,团结广大会员遵守法律法规和社会道德风尚，贯彻国家方针政策，促进社会主义建设，服务政府、社会和会员，维护会员合法权益，发挥桥梁纽带作用，发展繁荣水利事业,最高权力机构是全国会员代表大会。理事会是执行机构,否,进国际水利工程行业交流合作、推广中国水利技术和经验、提升全球水利工程建设管理水平,举办中国（国际）水务高峰论坛等交流活动,全球多国,为国内外水利行业搭建沟通平台,间接服务, 是（水利部主管）,官网、新闻、中国水利企业协会,是,否,海外交流访问
153,中非民间商会,1,0,1,10/1/2006,2005年,现任会长：郑跃文,执行秘书长：王江,——,北京市,非营利性社会团体,——,——,——,——,中非民间商会旨在引导中国民营企业“走出去”，和非洲企业一起，开拓非洲市场，助力非洲发展；通过与国内、国际合作伙伴建立密切的联系网络，创造出有利于中非经济技术合作的良好环境，以务实的方式推动中非合作、南南合作,最高权力机构​：会员大会，执行机构​：理事会，日常工作机构​：秘书处，内设部门​：​综合事务部、会员组织部、国际事务部,是（非洲）,推动民营企业积极参与“一带一路”建设，扎实助推民营企业高质量“走出去”，不断提升商会在民营经济国际合作领域中的影响力、向心力和凝聚力,粤非研讨会​、接待访华团​、组织出访活动,喀麦隆、肯尼亚、坦桑尼亚、刚果（金）、乌干达、安哥拉、马达加斯加、莫桑比克、赞比亚、埃及、加纳、津巴布韦等,推动中非经贸投资合作，促进和推动中非合作、南南合作,直接和间接服务,是,百度、爱企查、官网、新闻,是,是,海外交流访问
